Country,Event Count,Users,Classified Events
Canada,6395,26,410
Sao Tome and Principe,0,0,0
Turkmenistan,0,0,0
United States of America,303504,219,15195
Lithuania,162,2,4
Cambodia,0,0,0
Ethiopia,85,2,2
Sri Lanka,0,0,0
Swaziland,0,0,0
Argentina,12521,14,254
Bolivia,64,4,13
Cameroon,1,1,1
Burkina Faso,0,0,0
Ghana,0,0,0
Saudi Arabia,0,0,0
Slovenia,2846,3,11
Guatemala,0,0,0
Kuwait,0,0,0
Russian Federation,0,0,0
Germany,98239,93,1786
Dominica,0,0,0
Liberia,0,0,0
Maldives,0,0,0
Pakistan,15,1,1
Oman,0,0,0
Tanzania,0,0,0
Cabo Verde,0,0,0
Gabon,0,0,0
Antigua,0,0,0
Monaco,0,0,0
New Zealand,86,3,4
Yemen,0,0,0
Jamaica,0,0,0
Albania,0,0,0
Samoa,0,0,0
United Arab Emirates,120,1,1
India,786,21,65
Azerbaijan,0,0,0
Lesotho,0,0,0
Kenya,15,2,2
South Korea,32,2,3
Tajikistan,0,0,0
St. Vincent & Grenadines ,0,0,0
Turkey,2669,14,56
Afghanistan,0,0,0
Bangladesh,0,0,0
Andorra,0,0,0
Mauritania,0,0,0
Solomon Islands,0,0,0
Viet Nam,0,0,0
Saint Lucia,0,0,0
San Marino,0,0,0
Tonga,0,0,0
Mongolia,0,0,0
France,17760,66,738
Rwanda,0,0,0
Slovakia,1122,5,394
Somalia,0,0,0
Peru,125,4,93
Laos,0,0,0
Nauru,0,0,0
Norway,6380,4,143
Malawi,0,0,0
Benin,0,0,0
Cuba,0,0,0
Montenegro,0,0,0
Saint Kitts and Nevis,0,0,0
Cte d'Ivoire,0,0,0
Togo,0,0,0
China,209,4,7
Ecuador,7,1,1
Armenia,0,0,0
Dominican Republic,0,0,0
Ukraine,722,9,39
Bahrain,0,0,0
The Netherlands,0,0,0
Finland,4177,12,30
Libya,0,0,0
Indonesia,306,5,8
Central African Republic,0,0,0
Mauritius,0,0,0
Liechtenstein,0,0,0
Belarus,0,0,0
Mali,0,0,0
Bulgaria,342,4,12
Romania,65,1,1
Angola,0,0,0
Chad,0,0,0
Cyprus,105,1,21
Sweden,2662,10,66
Qatar,0,0,0
Malaysia,387,5,94
Austria,768,9,11
Mozambique,0,0,0
Uganda,0,0,0
Hungary,0,0,0
Niger,0,0,0
Brazil,2419,20,636
Guinea,0,0,0
Panama,132,1,42
Guyana,0,0,0
Costa Rica,0,0,0
Luxembourg,0,0,0
Bahamas,0,0,0
Ireland,186,3,3
Palau,0,0,0
Nigeria,0,0,0
Bosnia and Herzegovina ,0,0,0
Brunei,0,0,0
Australia,6252,19,1364
Iran,148,6,11
Algeria,2360,3,1366
El Salvador,0,0,0
Tuvalu,0,0,0
Czechia,172,4,13
Marshall Islands,0,0,0
Chile,1106,15,48
Belgium,1091,17,37
Kiribati,0,0,0
Haiti,0,0,0
Belize,0,0,0
Sierra Leone,0,0,0
Georgia,0,0,0
Gambia,0,0,0
Philippines,464,1,414
Moldova,0,0,0
Morocco,61,2,4
Croatia,95,2,2
Micronesia,0,0,0
Guinea-Bissau,0,0,0
Thailand,238,2,28
Switzerland,3847,21,111
Grenada,0,0,0
State of Palestine,0,0,0
Seychelles,0,0,0
Portugal,101,3,4
Estonia,0,0,0
Uruguay,484,4,342
Mexico,63498,39,926
Lebanon,0,0,0
Uzbekistan,0,0,0
Tunisia,79,1,1
Djibouti,0,0,0
Timor-Leste,0,0,0
Spain,30040,114,1740
Colombia,537,19,38
Burundi,0,0,0
Taiwan,0,0,0
Fiji,0,0,0
Barbados,0,0,0
Madagascar,0,0,0
Italy,103144,227,3106
Bhutan,0,0,0
Sudan,0,0,0
Nepal,177,2,2
Malta,0,0,0
Democratic Republic of the Congo,0,0,0
Suriname,0,0,0
Venezuela,226,7,17
Holy See,0,0,0
Israel,612,4,49
Iceland,23,2,2
Zambia,0,0,0
Senegal,0,0,0
Papua New Guinea,0,0,0
Zimbabwe,0,0,0
Jordan,20,1,1
Vanuatu,0,0,0
Denmark,1884,14,20
Kazakhstan,0,0,0
Poland,26745,16,335
Eritrea,0,0,0
Kyrgyzstan,30,1,1
Iraq,0,0,0
Macedonia,0,0,0
North Korea,0,0,0
Trinidad and Tobago,0,0,0
Latvia,26,1,1
South Sudan,0,0,0
Japan,72,1,1
Syria,1,1,1
Honduras,0,0,0
Myanmar,0,0,0
Equatorial Guinea,0,0,0
Egypt,306,3,3
Nicaragua,0,0,0
Republic of South Africa,0,0,0
Singapore,0,0,0
Serbia,11,2,2
Botswana,0,0,0
United Kingdom,20329,74,5375
Antarctica,0,0,0
Congo,0,0,0
Greece,7758,6,91
Paraguay,0,0,0
Namibia,0,0,0
Comoros,0,0,0
