Afghanistan,ښه راغلاست,,,سلام,
Albania,Mirë se vini,,,Përshëndetje,
Algeria,أهلا بك,,,مرحبا,
Andorra,Benvinguda,,,Hola,
Angola,Bem vinda,,,Olá,
Antarctica,Welcome/Добро пожаловать,,,Hello/Здравствуйте,
Antigua,Welcome,,,Hello,
Argentina,Bienvenido,,,Hola,
Armenia,Բարի գալուստ,,,Բարեւ,
Australia,Welcome,,,Hello,
Austria,Herzlich willkommen,,,Hallo,
Azerbaijan,Xoş gəlmisiniz,,,Salam,
Bahamas,Welcome,,,Hello,
Bahrain,أهلا بك,,,مرحبا,
Bangladesh,স্বাগত,,,হ্যালো,
Barbados,Welcome,,,Hello,
Belarus,Сардэчна запрашаем,,,Добры дзень,
Belgium,Bienvenue/Welkom,,,salut/Hallo,
Belize,Welcome,,,Hello,
Benin,Bienvenue,,,Salut,
Bhutan,,,,,
Bolivia,Bienvenido,,,Hola,
Bosnia and Herzegovina ,Dobrodošli/Добродошли,,,Zdravo/Здраво,
Botswana,Welcome,,,Hello,
Brazil,Bem vinda,,,Olá,
Brunei,Selamat datang,,,Hello,
Bulgaria,Добре дошли,,,Здравейте,
Burkina Faso,Welcome/Bienvenue,,,,
Burundi,Welcome/Bienvenue,,,,
Cabo Verde,Bem vinda,,,,
Cambodia,ស្វាគមន៍,,,,
Cameroon,Bienvenue,,,,
Canada,Welcome/Bienvenue,,,Hello/Salut,
Central African Republic,Bienvenue,,,,
Chad,أهلا بك ,,,,
Chile,Bienvenido,,,Hola,
China,欢迎 /歡迎 ,,,你好！,
Colombia,Bienvenido,,,Hola,
Comoros,أهلا بك,,,,
Congo,Bienvenue,,,,
Costa Rica,Bienvenido,,,Hola,
Côte d'Ivoire,Bienvenue,,,,
Croatia,Dobrodošli,,,Zdravo,
Cuba,Bienvenido,,,,
Cyprus,Hoşgeldiniz/ καλως ΗΡΘΑΤΕ,,,Merhaba/ Χαίρετε,
Czech Republic,Vítejte!,,,,
Democratic Republic of the Congo,,,,,
Denmark,Velkommen,,,Hej,
Djibouti,أهلا بك,,,,
Dominica,Welcome!,,,,
Dominican Republic,Bienvenido,,,Hola,
Ecuador,Bienvenido,,,Hola,
Egypt,أهلا بك,,,مرحبا,
El Salvador,Bienvenido,,,,
Equatorial Guinea,Bienvenido,,,,
Eritrea,أهلا بك,,,,
Estonia,Tere tulemast,,,,
Ethiopia,እንኳን ደህና መጣህ,,,ሰላም,
Fiji,Welcome,,,,
Finland,Tervetuloa,,,Hei,
France,Bienvenue,,,Bonjour,
Gabon,Bienvenue,,,,
Gambia,Welcome,,,,
Georgia,გამარჯობა,,,,
Germany,Herzlich Willkommen,,,Hallo,
Ghana,Welcome,,,,
Greece,Καλως ΗΡΘΑΤΕ,,,Γειά σου,
Grenada,Welcome,,,,
Guatemala,bienvenido,,,,
Guinea,Bienvenue,,,,
Guinea-Bissau,Bem vinda,,,,
Guyana,Üdvözöljük,,,,
Haiti,Bienvenido,,,,
Honduras,Bienvenido,,,,
Hungary,Üdvözöljük,,,,
Iceland,Velkominn,,,Halló,
India,स्वागत हे,,,नमस्कार,
Indonesia,SELAMAT DATANG,,,Halo,
Iran,خوش آمدی,,,سلام,
Iraq,أهلا بك,,,,
Ireland,Welcome,,,,
Israel,أهلا بك\ברוך הבא,,,مرحبا\שלום,
Italy,Benvenuto,,,Ciao,
Jamaica,Welcome,,,,
Japan,ようこそ,,,,
Jordan,أهلا بك,,,,
Kazakhstan,Қош келдіңіздер,,,,
Kenya,Karibu,,,Hello,
Kiribati,Welcome,,,,
Kuwait,أهلا بك,,,,
Kyrgyzstan,Кош келдиңиз/Добро пожаловать,,,Салам/Здравствуйте,
Laos,ຍິນດີຕ້ອນຮັບ,,,,
Latvia,Laipni lūdzam,,,Labdien,
Lebanon,أهلا بك,,,,
