DeviceID,Country
DECO-00000000-78d9-4d1a-33e6-93f411e452ca,France
DECO-ffffffff-c461-bf53-ffff-fffff300b37c,France
DECO-00000000-3436-db28-2d75-564429fdc547,Italy
DECO-ffffffff-c312-e75c-ffff-fffffbdafbcc,Italy
DECO-00000000-028a-f261-ffff-ffffb4673c68,Italy
DECO-ffffffff-c557-6621-e880-800c0033c587,ROC
DECO-00000000-695f-484c-ffff-ffff8ac3f85a,Germany
DECO-ffffffff-9310-397a-41cf-b7860033c587,Slovenia
DECO-ffffffff-aac1-26eb-ffff-ffffcc8cad85,France
DECO-00000000-6edc-133d-de81-be461bf50056,United Kingdom
DECO-ffffffff-b6a3-5160-3ea1-e08e4ff034e4,United States of America
DECO-ffffffff-9b2d-8895-9046-80130033c587,Ukraine
DECO-00000000-3e44-1fa8-6f58-7be96c0872bf,Australia
DECO-ffffffff-985b-ca76-ffff-fffff72becb5,Latvia
DECO-00000000-2c99-467e-ffff-ffffb253d546,United States of America
DECO-ffffffff-a5c6-ff14-e4fc-65fe2d592214,Germany
DECO-ffffffff-a36c-f598-7ae4-584f4e14d858,Chile
DECO-00000000-036e-c952-6679-d6d77155110b,United Kingdom
DECO-00000000-6ece-0c2f-ffff-ffffebc8df1a,Italy
DECO-ffffffff-944f-3028-ffff-ffffc0c1112c,France
DECO-ffffffff-876b-2a27-bfe5-ad233205ad65,Italy
DECO-00000000-0b99-c383-ffff-ffffc97959dc,Germany
DECO-00000000-63b1-b77f-ffff-fffff3652716,Belgium
DECO-ffffffff-f1a8-d948-95dd-5e5f00000000,United States of America
DECO-ffffffff-aced-d5ac-ffff-ffffa59900ac,United States of America
DECO-00000000-30b6-f07c-346f-ffe6352c0e75,Mexico
DECO-00000000-5c6d-a63f-0033-c5870033c587,Spain
DECO-ffffffff-d224-467a-ffff-ffffab90a9eb,United Kingdom
DECO-ffffffff-89d6-b0aa-ffff-ffff89b17497,Brazil
DECO-00000000-1a38-16d9-dc3b-e397260175ac,Mexico
DECO-ffffffff-f9b8-ab8b-fb61-c2f973a1a27e,Italy
DECO-00000000-7320-79bd-974b-9937432370cd,Norway
DECO-ffffffff-b8db-5963-ffff-ffffec4c01b7,Spain
DECO-ffffffff-860f-9f29-7062-fbc435700a82,PRC
DECO-00000000-4d1b-5a05-ffff-ffff80b0801d,United Kingdom
DECO-00000000-2a1d-b92d-a81d-6bc6061d8eae,Finland
DECO-00000000-3603-deb3-ffff-fffff69af36c,Italy
DECO-ffffffff-b4fe-88e8-c4a0-86cf2ecff3c2,Austria
DECO-00000000-5c36-e1d1-6493-fc873122f743,Australia
DECO-ffffffff-a7c5-8cef-4347-263a0033c587,Italy
